ID,gender,field,frequency,output,learning impact,knowledge retention,dependent on technology,restriction,free_time
5,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,8+ hours per week
6,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
7,Male,Engineering,Occasionally,strong,Significantly reduced,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
8,Male,Natural Sciences,Very frequently,stronger,Significantly improved,Somewhat hinders,"Yes, certain areas",guidelines,8+ hours per week
9,Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
10,Male,Business/Finance,Rarely,basic,No impact,No effect,"Yes, significantly",restricted,0- 2 hours
11,Female,Other ,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",free,0- 2 hours
12,Female,Business/Finance,Never,stronger,No impact,Somewhat helps,No,guidelines,0- 2 hours
13,Female,Business/Finance,Never,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
14,Female,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
15,Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
16,Female,Other ,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",Unsure,3-8 hours per week
17,Female,Medicine/Healthcare,Very frequently,strong,Significantly improved,Somewhat hinders,"Yes, certain areas",Unsure,0- 2 hours
18,Female,Other ,Frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
19,Male,Computer Science/IT,Very frequently,strong,No impact,Strongly helps,No,Unsure,0- 2 hours
20,Female,Other ,Never,Poor,No impact,Strongly helps,"Yes, certain areas",Unsure,0- 2 hours
21,Female,Other ,Frequently,strong,Somewhat improved,No effect,No,guidelines,0- 2 hours
22,Female,Other ,Rarely,Poor,No impact,Somewhat helps,No,free,3-8 hours per week
23,Female,Other ,Occasionally,basic,Somewhat improved,Somewhat helps,No,free,3-8 hours per week
24,Female,Medicine/Healthcare,Occasionally,basic,Somewhat improved,Strongly helps,"Yes, significantly",guidelines,0- 2 hours
25,Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Strongly hinders,"Yes, significantly",Unsure,3-8 hours per week
26,Female,Medicine/Healthcare,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
27,Female,Computer Science/IT,Very frequently,strong,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
28,Male,Computer Science/IT,Frequently,stronger,Significantly reduced,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
29,Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
30,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
31,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
32,Female,Computer Science/IT,Very frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
33,Prefer not to state,Computer Science/IT,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
34,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",free,3-8 hours per week
35,Female,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
36,Female,Computer Science/IT,Very frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
37,Female,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
38,Male,Engineering,Occasionally,basic,Somewhat improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
39,Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
40,Female,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",free,3-8 hours per week
41,Male,Business/Finance,Occasionally,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
42,Male,Engineering,Occasionally,basic,Somewhat decreased,Somewhat helps,"Yes, significantly",free,0- 2 hours
43,Male,Engineering,Very frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
44,Male,Engineering,Occasionally,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,0- 2 hours
45,Male,Engineering,Never,stronger,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
46,Male,Other ,Occasionally,strong,Somewhat improved,Somewhat helps,No,guidelines,8+ hours per week
47,Male,Engineering,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,0- 2 hours
48,Male,Engineering,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
49,Male,Other ,Never,Poor,No impact,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
50,Male,Humanities/Social Sciences,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
51,Male,Computer Science/IT,Frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
52,Male,Computer Science/IT,Frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
53,Male,Computer Science/IT,Very frequently,strong,Somewhat decreased,Somewhat hinders,"Yes, certain areas",restricted,3-8 hours per week
54,Male,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
55,Male,Computer Science/IT,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",free,8+ hours per week
56,Female,Engineering,Occasionally,basic,No impact,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
57,Female,Business/Finance,Very frequently,stronger,Significantly improved,No effect,"Yes, certain areas",guidelines,8+ hours per week
58,Male,Computer Science/IT,Very frequently,basic,Somewhat improved,Strongly helps,"Yes, certain areas",free,3-8 hours per week
59,Male,Computer Science/IT,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, significantly",free,3-8 hours per week
60,Male,Computer Science/IT,Frequently,stronger,Significantly reduced,Strongly hinders,"Yes, significantly",guidelines,8+ hours per week
61,Male,Business/Finance,Frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
62,Male,Computer Science/IT,Occasionally,strong,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
63,Male,Business/Finance,Frequently,basic,Somewhat decreased,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
64,Female,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,No,free,3-8 hours per week
65,Female,Computer Science/IT,Very frequently,basic,Somewhat improved,Somewhat hinders,"Yes, certain areas",guidelines,8+ hours per week
66,Female,Engineering,Frequently,Poor,Significantly improved,Somewhat hinders,"Yes, significantly",guidelines,3-8 hours per week
67,Prefer not to state,Medicine/Healthcare,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
68,Female,Computer Science/IT,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
69,Male,Computer Science/IT,Rarely,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,0- 2 hours
70,Male,Medicine/Healthcare,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
71,Female,Engineering,Very frequently,stronger,Somewhat improved,Somewhat helps,No,guidelines,8+ hours per week
72,Female,Business/Finance,Frequently,strong,No impact,Strongly helps,"Yes, significantly",free,3-8 hours per week
73,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,No,restricted,3-8 hours per week
74,Female,Computer Science/IT,Frequently,basic,Significantly improved,Strongly helps,"Yes, significantly",free,0- 2 hours
75,Female,Medicine/Healthcare,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
76,Female,Computer Science/IT,Very frequently,strong,Significantly reduced,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
77,Male,Natural Sciences,Occasionally,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
78,Female,Business/Finance,Frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
79,Female,Medicine/Healthcare,Occasionally,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
80,Female,Other ,Frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",Unsure,0- 2 hours
81,Female,Computer Science/IT,Very frequently,basic,Significantly improved,No effect,"Yes, significantly",restricted,8+ hours per week
82,Male,Computer Science/IT,Very frequently,stronger,Somewhat improved,Strongly helps,"Yes, significantly",free,8+ hours per week
83,Female,Business/Finance,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
84,Male,Business/Finance,Very frequently,strong,Somewhat improved,Somewhat helps,No,guidelines,0- 2 hours
85,Male,Engineering,Rarely,strong,Significantly improved,No effect,No,restricted,3-8 hours per week
86,Female,Business/Finance,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
87,Male,Computer Science/IT,Frequently,stronger,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
88,Female,Business/Finance,Very frequently,stronger,Significantly improved,No effect,"Yes, certain areas",restricted,8+ hours per week
89,Female,Medicine/Healthcare,Frequently,strong,Somewhat improved,Strongly helps,No,guidelines,8+ hours per week
90,Female,Business/Finance,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
91,Female,Computer Science/IT,Very frequently,strong,Significantly improved,Strongly helps,No,guidelines,8+ hours per week
92,Male,Business/Finance,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
93,Female,Business/Finance,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",free,0- 2 hours
94,Female,Business/Finance,Occasionally,stronger,Somewhat improved,Somewhat helps,No,guidelines,3-8 hours per week
95,Female,Computer Science/IT,Frequently,stronger,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
96,Male,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
97,Male,Engineering,Frequently,strong,Significantly improved,Strongly helps,No,guidelines,8+ hours per week
98,Female,Business/Finance,Never,basic,No impact,No effect,No,guidelines,3-8 hours per week
99,Female,Medicine/Healthcare,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",restricted,8+ hours per week
100,Male,Engineering,Very frequently,basic,Somewhat improved,No effect,"Yes, certain areas",guidelines,8+ hours per week
101,Male,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",free,3-8 hours per week
102,Female,Medicine/Healthcare,Occasionally,basic,Significantly improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
103,Male,Engineering,Frequently,strong,Somewhat decreased,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
104,Male,Computer Science/IT,Occasionally,strong,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
105,Male,Engineering,Occasionally,strong,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
106,Female,Medicine/Healthcare,Very frequently,basic,No impact,No effect,No,guidelines,3-8 hours per week
107,Female,Engineering,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
108,Male,Engineering,Frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
109,Female,Engineering,Frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
110,Male,Computer Science/IT,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
111,Female,Computer Science/IT,Frequently,stronger,Significantly improved,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
112,Female,Engineering,Very frequently,strong,Somewhat improved,Somewhat helps,No,guidelines,0- 2 hours
113,Male,Computer Science/IT,Very frequently,stronger,Significantly improved,Strongly helps,No,Unsure,8+ hours per week
114,Male,Engineering,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
115,Male,Business/Finance,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
116,Male,Engineering,Occasionally,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,0- 2 hours
117,Prefer not to state,Engineering,Occasionally,basic,No impact,No effect,"Yes, certain areas",restricted,0- 2 hours
118,Female,Other ,Occasionally,basic,Significantly improved,Strongly helps,No,free,3-8 hours per week
119,Female,Business/Finance,Very frequently,stronger,Significantly reduced,Somewhat helps,"Yes, significantly",guidelines,0- 2 hours
120,Female,Business/Finance,Occasionally,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
121,Female,Business/Finance,Frequently,strong,Somewhat improved,Strongly helps,"Yes, certain areas",free,0- 2 hours
122,Female,Business/Finance,Occasionally,basic,No impact,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
123,Male,Business/Finance,Rarely,strong,No impact,No effect,No,Unsure,0- 2 hours
124,Male,Engineering,Rarely,basic,Somewhat improved,Somewhat hinders,"Yes, certain areas",Unsure,8+ hours per week
125,Female,Engineering,Occasionally,basic,Significantly improved,Strongly helps,"Yes, significantly",restricted,3-8 hours per week
126,Female,Computer Science/IT,Never,basic,No impact,Somewhat hinders,"Yes, certain areas",restricted,3-8 hours per week
127,Male,Business/Finance,Occasionally,strong,Significantly improved,Strongly helps,"Yes, significantly",guidelines,3-8 hours per week
128,Female,Business/Finance,Occasionally,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
129,Male,Engineering,Occasionally,basic,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
130,Male,Engineering,Occasionally,basic,Significantly improved,No effect,"Yes, significantly",free,3-8 hours per week
131,Male,Medicine/Healthcare,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
132,Female,Engineering,Occasionally,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
133,Female,Medicine/Healthcare,Occasionally,basic,Somewhat improved,No effect,"Yes, significantly",guidelines,3-8 hours per week
134,Female,Engineering,Very frequently,stronger,Somewhat decreased,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
135,Female,Computer Science/IT,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,8+ hours per week
136,Female,Business/Finance,Very frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
137,Female,Business/Finance,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
138,Female,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
139,Male,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
140,Female,Engineering,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, certain areas",guidelines,0- 2 hours
141,Female,Computer Science/IT,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",restricted,8+ hours per week
142,Female,Medicine/Healthcare,Rarely,basic,Somewhat improved,Somewhat helps,"Yes, significantly",Unsure,0- 2 hours
143,Female,Other ,Frequently,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
144,Female,Medicine/Healthcare,Frequently,basic,Significantly improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
145,Female,Computer Science/IT,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
146,Male,Computer Science/IT,Frequently,strong,No impact,Somewhat hinders,"Yes, significantly",free,8+ hours per week
147,Male,Engineering,Very frequently,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
148,Female,Engineering,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",free,8+ hours per week
149,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,No,free,8+ hours per week
150,Male,Business/Finance,Frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
151,Female,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat helps,"Yes, certain areas",restricted,3-8 hours per week
152,Female,Engineering,Frequently,stronger,Significantly improved,Strongly helps,No,guidelines,8+ hours per week
153,Male,Engineering,Very frequently,basic,Significantly improved,Somewhat hinders,No,restricted,3-8 hours per week
154,Female,Engineering,Occasionally,basic,Significantly improved,Somewhat helps,"Yes, significantly",restricted,3-8 hours per week
155,Male,Engineering,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
156,Male,Computer Science/IT,Rarely,strong,Significantly improved,Somewhat helps,No,free,3-8 hours per week
157,Female,Business/Finance,Occasionally,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
158,Male,Engineering,Frequently,basic,Somewhat improved,Somewhat helps,"Yes, significantly",guidelines,8+ hours per week
159,Female,Computer Science/IT,Very frequently,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
160,Male,Medicine/Healthcare,Occasionally,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,0- 2 hours
161,Female,Business/Finance,Frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
162,Female,Engineering,Frequently,basic,Significantly improved,Somewhat helps,"Yes, significantly",guidelines,3-8 hours per week
163,Female,Business/Finance,Occasionally,stronger,Significantly improved,Strongly helps,"Yes, significantly",free,8+ hours per week
164,Female,Other ,Very frequently,basic,Significantly improved,Strongly helps,"Yes, significantly",free,8+ hours per week
165,Male,Engineering,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
166,Male,Computer Science/IT,Occasionally,basic,Somewhat improved,No effect,No,free,3-8 hours per week
167,Female,Engineering,Occasionally,strong,Somewhat improved,Strongly helps,"Yes, significantly",guidelines,0- 2 hours
168,Female,Business/Finance,Frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
169,Female,Engineering,Never,stronger,No impact,Strongly helps,"Yes, significantly",free,0- 2 hours
170,Female,Engineering,Frequently,stronger,Significantly improved,Somewhat helps,"Yes, significantly",free,0- 2 hours
171,Male,Engineering,Very frequently,basic,Somewhat improved,Somewhat helps,No,restricted,0- 2 hours
172,Prefer not to state,Engineering,Frequently,strong,Significantly improved,Somewhat helps,No,guidelines,3-8 hours per week
173,Female,Engineering,Very frequently,strong,Somewhat decreased,No effect,"Yes, significantly",guidelines,3-8 hours per week
174,Female,Business/Finance,Frequently,stronger,No impact,Somewhat helps,"Yes, significantly",restricted,0- 2 hours
175,Female,Engineering,Frequently,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
176,Male,Business/Finance,Frequently,strong,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,3-8 hours per week
177,Male,Engineering,Frequently,strong,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
178,Male,Business/Finance,Frequently,strong,Significantly improved,Strongly helps,"Yes, significantly",free,8+ hours per week
179,Male,Engineering,Occasionally,basic,Somewhat improved,Somewhat helps,No,restricted,3-8 hours per week
180,Male,Engineering,Frequently,strong,Somewhat improved,Somewhat helps,No,free,8+ hours per week
181,Female,Business/Finance,Frequently,strong,Significantly improved,Somewhat hinders,"Yes, significantly",guidelines,3-8 hours per week
182,Female,Business/Finance,Very frequently,stronger,Somewhat decreased,Somewhat hinders,"Yes, certain areas",free,3-8 hours per week
183,Female,Business/Finance,Rarely,basic,Somewhat improved,No effect,No,guidelines,0- 2 hours
184,Female,Business/Finance,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,3-8 hours per week
185,Female,Business/Finance,Frequently,stronger,Significantly improved,Strongly helps,No,guidelines,3-8 hours per week
186,Female,Other ,Occasionally,stronger,Significantly improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
187,Female,Engineering,Occasionally,stronger,Somewhat improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
188,Male,Business/Finance,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, significantly",free,3-8 hours per week
189,Female,Business/Finance,Very frequently,stronger,Significantly improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
190,Female,Business/Finance,Frequently,basic,Significantly improved,Somewhat helps,No,guidelines,8+ hours per week
191,Female,Engineering,Occasionally,strong,Significantly improved,No effect,No,free,0- 2 hours
192,Female,Other ,Rarely,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",guidelines,8+ hours per week
193,Female,Computer Science/IT,Frequently,strong,Significantly reduced,No effect,"Yes, certain areas",guidelines,8+ hours per week
194,Female,Business/Finance,Very frequently,strong,Somewhat improved,Somewhat hinders,"Yes, significantly",free,8+ hours per week
195,Male,Computer Science/IT,Occasionally,strong,Somewhat decreased,Somewhat hinders,"Yes, significantly",restricted,8+ hours per week
196,Male,Computer Science/IT,Very frequently,basic,Significantly improved,Somewhat helps,"Yes, certain areas",free,3-8 hours per week
197,Female,Medicine/Healthcare,Frequently,basic,Significantly improved,Strongly helps,"Yes, certain areas",guidelines,8+ hours per week
198,Male,Business/Finance,Occasionally,basic,Somewhat improved,Somewhat hinders,"Yes, significantly",restricted,3-8 hours per week
199,Female,Engineering,Frequently,stronger,Somewhat improved,Strongly helps,"Yes, certain areas",free,8+ hours per week
200,Female,Medicine/Healthcare,Very frequently,strong,Somewhat improved,Somewhat helps,"Yes, certain areas",guidelines,0- 2 hours
201,Female,Engineering,Frequently,basic,Significantly improved,Strongly helps,"Yes, significantly",guidelines,8+ hours per week
202,Female,Engineering,Frequently,strong,Significantly improved,Strongly helps,No,guidelines,8+ hours per week
203,Male,Business/Finance,Rarely,strong,Significantly reduced,No effect,No,free,0- 2 hours
204,Female,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
205,Female,Business/Finance,Frequently,stronger,Significantly improved,Somewhat helps,"Yes, certain areas",guidelines,8+ hours per week
206,Male,Engineering,Very frequently,strong,Significantly improved,Somewhat helps,"Yes, significantly",free,8+ hours per week
207,Female,Business/Finance,Frequently,strong,Somewhat improved,Somewhat helps,No,guidelines,8+ hours per week
